end_year,adm_1,best
#date+year+end,#adm1+name,#affected+killed
2013,Nairobi city county,61
2014,Lamu county,48
2014,Lamu county,9
2008,Rift Valley province,74
2007,Nairobi province,3
1998,North Eastern province,9
2015,Garissa county,1
2008,North-Eastern province,15
2007,Nairobi province,0
2016,Garissa county,0
2016,Mandera county,4
2012,North-Eastern province,6
2014,Wajir county,20
2000,North Eastern province,17
2012,Eastern province,21
1998,North Eastern province,147
2007,Nairobi province,4
2008,Nairobi province,2
2008,Nairobi province,2
2013,Marsabit county,2
2013,Marsabit county,1
2013,Marsabit county,15
2014,Nairobi city county,0
2017,Marsabit county,4
2017,Kwale county,0
1992,Rift Valley province,16
1993,Rift Valley province,6
1994,Rift Valley province,0
1994,Nairobi province,1
1999,Rift Valley province,40
2001,,16
1993,Rift Valley province,3
2007,Nairobi province,1
2007,Western province,3
2008,,1
2009,Rift Valley province,16
1992,Rift Valley province,8
1989,Rift Valley province,3
1989,Rift Valley province,60
1993,Rift Valley province,3
2012,North-Eastern province,5
2012,Nairobi province,0
2013,Mombasa county,0
1991,Rift Valley province,16
1991,Rift Valley province,1
1992,Rift Valley province,4
2014,Kwale county,0
1992,Western province,10
2014,Mandera county,3
2014,West Pokot county,2
1993,Rift Valley province,14
1993,Rift Valley province,3
1993,Rift Valley province,4
1994,Rift Valley province,1
1994,Rift Valley province,1
1994,Rift Valley province,1
1994,Rift Valley province,1
1994,Central province,2
1994,Central province,4
1989,Rift Valley province,0
1990,Nairobi province,7
1995,Rift Valley province,2
1998,Rift Valley province,22
1996,Rift Valley province,3
1996,Rift Valley province,51
1996,Rift Valley province,1
1997,Rift Valley province,7
1997,Rift Valley province,10
1997,Eastern province,100
1997,Nairobi province,1
1997,,28
1997,Nairobi province,9
2016,Mandera county,1
2016,Elgeyo Marakwet county,1
1997,Nyanza province,1
1997,Rift Valley province,3
1998,Rift Valley province,2
1998,Rift Valley province,16
1998,Rift Valley province,1
1998,Rift Valley province,10
1998,North Eastern province,3
1994,Rift Valley province,1
1999,Eastern province,18
1999,Rift Valley province,10
1999,Rift Valley province,100
2017,Garissa county,0
1999,Eastern province,0
1999,Rift Valley province,15
2017,Lamu county,0
2017,Kisumu county,1
2017,Samburu county,2
2000,Rift Valley province,7
2000,Rift Valley province,135
2000,North Eastern province,1
2000,North Eastern province,4
2017,Lamu county,4
2017,Nairobi city county,1
2000,North Eastern province,27
2017,Mombasa county,1
2000,Nairobi province,1
2000,Eastern province,8
2000,North Eastern province,12
1992,Rift Valley province,8
2001,Eastern province,10
2001,Rift Valley province,4
2001,Rift Valley province,2
2001,Rift Valley province,1
2001,Rift Valley province,2
2001,Rift Valley province,6
2001,Coast province,0
2001,Rift Valley province,48
1993,Rift Valley province,8
2001,Nairobi province,0
2012,Rift Valley province,13
1995,Nyanza province,4
2012,North-Eastern province,0
1992,Rift Valley province,18
1992,Rift Valley province,2
1992,,0
1992,Rift Valley province,11
1992,Nyanza province,3
1992,Central province,0
1992,Western province,15
1992,Nyanza province,11
1992,Western province,14
1992,Western province,5
1992,Western province,4
1992,Rift Valley province,4
1992,Coast province,1
1992,Rift Valley province,3
1992,Rift Valley province,3
1992,Nairobi province,1
1992,Western province,8
1992,Rift Valley province,4
1992,Western province,1
1992,Rift Valley province,4
1992,Coast province,1
1993,Rift Valley province,157
1993,Rift Valley province,7
1993,Rift Valley province,9
1993,Rift Valley province,1
1993,Rift Valley province,15
1993,Rift Valley province,5
1993,Rift Valley province,8
1993,Rift Valley province,4
1993,Rift Valley province,10
1993,Rift Valley province,17
1993,Western province,13
1994,Rift Valley province,6
1994,Rift Valley province,5
1994,Rift Valley province,6
1994,Nairobi province,5
1995,Rift Valley province,10
1997,,5
1995,Rift Valley province,44
1996,Rift Valley province,54
1996,Rift Valley province,0
1996,Eastern province,40
1996,Rift Valley province,6
1996,Eastern province,13
1996,Nairobi province,2
1997,Rift Valley province,45
1997,Rift Valley province,3
1998,Rift Valley province,1
1998,Rift Valley province,7
1998,Rift Valley province,26
1998,Rift Valley province,26
1998,Rift Valley province,25
1998,Rift Valley province,2
1998,Rift Valley province,25
1999,Rift Valley province,11
2000,Rift Valley province,13
2000,Rift Valley province,7
2000,North Eastern province,1
2000,Eastern province,2
2000,Rift Valley province,2
2000,Rift Valley province,11
2005,Western province,3
2000,North Eastern province,6
2001,Rift Valley province,30
2001,Rift Valley province,2
2001,Nyanza province,4
2001,Coast province,14
2001,Coast province,17
2001,Coast province,21
2001,Coast province,14
2001,,1
2002,Rift Valley province,10
2002,Rift Valley province,10
2002,Rift Valley province,7
2002,Rift Valley province,5
2003,Rift Valley province,4
2003,Rift Valley province,3
2004,Rift Valley province,8
2004,North-Eastern province,7
2004,North-Eastern province,3
2004,Rift Valley province,2
2005,North-Eastern province,9
2005,North-Eastern province,0
2005,North-Eastern province,3
2005,North-Eastern province,11
2005,North-Eastern province,9
2005,North-Eastern province,2
2005,Rift Valley province,17
2005,Rift Valley province,28
2005,Rift Valley province,1
2005,Rift Valley province,0
2005,Rift Valley province,1
2005,Rift Valley province,1
2005,Rift Valley province,0
2005,Rift Valley province,1
2005,Rift Valley province,9
2005,North-Eastern province,23
2005,Eastern province,0
2005,North-Eastern province,6
2005,North-Eastern province,0
2005,Rift Valley province,0
2005,,5
2005,Nairobi province,0
2005,Rift Valley province,5
2005,Rift Valley province,12
2005,Nyanza province,1
2005,Eastern province,56
2005,Eastern province,10
2005,Eastern province,2
2006,Western province,7
2006,Rift Valley province,58
2006,Rift Valley province,2
2006,Rift Valley province,5
2006,Rift Valley province,2
2006,Rift Valley province,5
2006,Western province,15
2006,,9
2006,Rift Valley province,10
2006,Eastern province,4
2006,Eastern province,2
2006,Nairobi province,0
2006,Eastern province,19
2006,Rift Valley province,4
2006,Eastern province,21
2006,Rift Valley province,6
2006,Rift Valley province,2
2006,Eastern province,19
2006,Western province,2
2006,Eastern province,2
2006,Rift Valley province,14
2006,Rift Valley province,11
2007,Western province,1
2007,Western province,0
2007,Western province,5
2007,Eastern province,7
2007,Nairobi province,3
2007,Eastern province,1
2007,Nairobi province,2
2007,North-Eastern province,1
2007,Western province,1
2007,Nairobi province,1
2007,Rift Valley province,11
2007,,3
2007,Western province,2
2007,Western province,1
2007,Rift Valley province,2
2007,Nairobi province,1
2007,Nairobi province,1
2007,Nairobi province,1
2007,Nairobi province,4
2007,Nairobi province,1
2007,Nairobi province,0
2007,Nairobi province,0
2007,Rift Valley province,13
2007,Western province,1
2007,Eastern province,7
2007,Central province,1
2007,Western province,1
2007,Nairobi province,0
2007,Western province,1
2007,Central province,0
2007,Nairobi province,0
2007,Western province,4
2008,Rift Valley province,0
2007,,0
2007,Coast province,0
2007,Western province,0
2007,,1
2007,Nyanza province,2
2007,Nyanza province,2
2007,Nairobi province,38
2007,Rift Valley province,6
2007,Nyanza province,2
2007,Rift Valley province,5
2007,Nairobi province,1
2007,Coast province,19
2007,Western province,22
2007,Western province,0
2008,Western province,1
2008,Western province,2
2008,Rift Valley province,31
2008,Rift Valley province,1
2008,Western province,32
2008,Western province,4
2008,Western province,22
2008,Central province,0
2008,Nyanza province,44
2008,Western province,3
2008,Western province,1
2008,Western province,3
2008,Western province,7
2008,Western province,23
2008,,2
2008,Rift Valley province,2
2008,Rift Valley province,0
2008,Rift Valley province,2
2008,Rift Valley province,0
2008,Rift Valley province,2
2008,Nyanza province,6
2008,Rift Valley province,2
2008,,2
2008,Rift Valley province,5
2008,Nyanza province,0
2008,Nyanza province,0
2008,Nyanza province,0
2008,Nyanza province,0
2008,Nyanza province,0
2008,Nairobi province,3
2008,Nairobi province,0
2008,Nairobi province,0
2008,Nairobi province,0
2008,Rift Valley province,13
2008,Central province,0
2008,Rift Valley province,40
2008,Rift Valley province,1
2008,Rift Valley province,2
2008,Rift Valley province,2
2008,Rift Valley province,2
2008,Rift Valley province,2
2008,Rift Valley province,2
2008,Rift Valley province,3
2008,Rift Valley province,1
2008,Rift Valley province,6
2008,Rift Valley province,2
2008,Rift Valley province,2
2008,Rift Valley province,19
2008,Rift Valley province,19
2008,Nyanza province,1
2008,Nyanza province,2
2008,Rift Valley province,0
2008,Nairobi province,6
2008,Rift Valley province,0
2008,Rift Valley province,10
2008,Rift Valley province,9
2008,Rift Valley province,4
2008,Western province,6
2008,Rift Valley province,9
2008,Western province,1
2008,Rift Valley province,7
2008,Rift Valley province,74
2008,Rift Valley province,16
2008,Rift Valley province,1
2008,Western province,2
2008,Rift Valley province,3
2008,Rift Valley province,1
2008,Nairobi province,1
2008,Rift Valley province,1
2008,Rift Valley province,1
2008,Western province,1
2008,Western province,2
2008,Western province,72
2008,Western province,2
2008,Rift Valley province,13
2008,Western province,1
2008,Western province,4
2008,Eastern province,3
2008,Western province,3
2008,Western province,2
2008,Rift Valley province,1
2008,Western province,8
2008,Rift Valley province,4
2008,Eastern province,2
2008,Western province,1
2008,Western province,7
2008,Nairobi province,3
2008,Western province,7
2008,Nairobi province,1
2008,Nairobi province,0
2008,Rift Valley province,20
2008,Central province,1
2008,Eastern province,1
2008,North-Eastern province,2
2008,Rift Valley province,2
2008,Rift Valley province,3
2008,Rift Valley province,2
2008,Rift Valley province,0
2008,Eastern province,2
2008,Eastern province,5
2008,North-Eastern province,13
2008,Eastern province,1
2008,North-Eastern province,1
2008,Eastern province,4
2008,Eastern province,6
2008,Rift Valley province,3
2008,Rift Valley province,4
2008,Rift Valley province,4
2008,,3
2008,Rift Valley province,4
2009,Eastern province,6
2009,Nairobi province,7
2009,Nairobi province,1
2009,Rift Valley province,1
2009,Rift Valley province,1
2009,Rift Valley province,1
2009,Nairobi province,2
2009,Nairobi province,0
2009,Rift Valley province,2
2009,Rift Valley province,5
2009,Rift Valley province,1
2009,Rift Valley province,23
2009,,0
2009,Central province,29
2009,Rift Valley province,2
2009,Rift Valley province,5
2009,Rift Valley province,0
2009,Rift Valley province,1
2009,Rift Valley province,0
2009,Rift Valley province,10
2009,Rift Valley province,10
2009,Rift Valley province,14
2009,Rift Valley province,32
2009,Nairobi province,1
2010,Rift Valley province,2
2010,Rift Valley province,1
2010,Rift Valley province,3
2010,Rift Valley province,9
2010,Rift Valley province,2
2010,Rift Valley province,1
2010,Rift Valley province,2
2010,Rift Valley province,5
2010,Rift Valley province,2
2010,Rift Valley province,4
2010,Rift Valley province,1
2010,Rift Valley province,2
2010,Rift Valley province,1
2010,Rift Valley province,3
2010,Rift Valley province,1
2010,Rift Valley province,7
2010,Rift Valley province,11
2010,Rift Valley province,1
2010,Rift Valley province,1
2010,Rift Valley province,3
2010,Rift Valley province,7
2010,Rift Valley province,0
2010,Rift Valley province,2
2011,Rift Valley province,6
2010,Rift Valley province,6
2010,Rift Valley province,2
2010,Rift Valley province,5
2010,Eastern province,1
2011,Rift Valley province,6
2011,Rift Valley province,1
2011,Rift Valley province,6
2011,Rift Valley province,25
2011,Rift Valley province,5
2011,Rift Valley province,4
2011,Rift Valley province,5
2011,Rift Valley province,5
2011,Rift Valley province,6
2011,Rift Valley province,9
2011,Rift Valley province,11
2011,Nairobi province,1
2011,Rift Valley province,1
2011,Rift Valley province,1
2011,Rift Valley province,14
2011,Eastern province,8
2011,Eastern province,7
2011,Eastern province,3
2011,Eastern province,2
2011,North-Eastern province,0
2011,North-Eastern province,1
2011,North-Eastern province,6
2011,North-Eastern province,2
2011,Eastern province,1
2011,Eastern province,8
2012,North-Eastern province,0
2012,Coast province,3
2012,North-Eastern province,0
2012,Coast province,2
2012,Eastern province,6
2012,North-Eastern province,7
2012,North-Eastern province,1
2012,North-Eastern province,1
2012,North-Eastern province,1
2012,North-Eastern province,1
2012,Nairobi province,0
2012,Coast province,1
2012,Rift Valley province,7
2012,Rift Valley province,1
2012,Eastern province,2
2012,Coast province,0
2012,Nairobi province,0
2012,Coast province,1
2012,North-Eastern province,1
2012,North-Eastern province,0
2012,Nairobi province,1
2012,North-Eastern province,0
2012,Nairobi province,3
2012,North-Eastern province,0
2012,Coast province,0
2012,Rift Valley province,6
2012,Rift Valley province,1
2012,North-Eastern province,2
2012,North-Eastern province,17
2012,Coast province,1
2012,North-Eastern province,1
2012,North-Eastern province,0
2012,North-Eastern province,6
2012,North-Eastern province,1
2012,North-Eastern province,0
2012,Nairobi province,1
2012,Coast province,0
2012,Coast province,0
2012,Coast province,3
2012,North-Eastern province,5
2012,North-Eastern province,0
2012,North-Eastern province,0
2012,Coast province,53
2012,North-Eastern province,1
2012,North-Eastern province,4
2012,Coast province,3
2012,Coast province,12
2012,Coast province,38
2012,Coast province,1
2012,Coast province,1
2012,Coast province,1
2012,Coast province,1
2012,North-Eastern province,0
2012,North-Eastern province,0
2012,Coast province,4
2012,Coast province,0
2012,Coast province,2
2012,Coast province,0
2012,North-Eastern province,0
2012,North-Eastern province,3
2012,North-Eastern province,2
2012,Nairobi province,10
2012,Nairobi province,0
2012,Nairobi province,0
2012,North-Eastern province,0
2012,Coast province,45
2013,Coast province,9
2013,Coast province,2
2013,Coast province,11
2013,Rift Valley province,8
2013,North-Eastern province,7
2013,North-Eastern province,0
2013,Kisumu county,2
2013,Mandera county,0
2013,Mandera county,1
2013,Mandera county,7
2013,Mandera county,3
2013,Mandera county,1
2013,Mandera county,2
2013,Mandera county,1
2013,Mandera county,3
2013,Mandera county,2
2013,Garissa county,2
2013,Garissa county,3
2013,Garissa county,6
2013,Mombasa county,0
2013,Wajir county,2
2013,Mandera county,4
2013,Wajir county,5
2013,Mandera county,0
2013,Mandera county,0
2013,Mandera county,16
2013,Mandera county,3
2013,Marsabit county,1
2015,Lamu county,1
2013,Marsabit county,2
2013,Marsabit county,3
2013,Marsabit county,0
2013,Samburu county,17
2013,Nairobi city county,10
2013,West Pokot county,12
2013,,13
2013,Turkana county,2
2013,Turkana county,2
2013,West Pokot county,2
2013,Marsabit county,1
2013,Turkana county,0
2013,Marsabit county,13
2013,Marsabit county,2
2013,Marsabit county,0
2013,Garissa county,8
2014,Marsabit county,4
2014,Turkana county,0
2014,Marsabit county,1
2014,Turkana county,1
2014,Turkana county,1
2014,Marsabit county,9
2014,Mombasa county,0
2014,Turkana county,2
2014,Marsabit county,0
2014,Turkana county,4
2014,West Pokot county,0
2014,Turkana county,0
2014,Mombasa county,0
2014,Mombasa county,0
2014,Turkana county,1
2014,,0
2014,Turkana county,3
2014,Turkana county,2
2014,Nairobi city county,4
2014,Mandera county,2
2014,Wajir county,5
2014,Nairobi city county,3
2014,Turkana county,3
2014,Mandera county,0
2014,Wajir county,3
2014,Mandera county,2
2014,Mandera county,6
2014,Wajir county,1
2014,Samburu county,1
2014,Mandera county,12
2014,Mandera county,2
2014,Mandera county,3
2014,Mandera county,3
2014,Mandera county,0
2014,Mandera county,0
2014,Mandera county,2
2014,Wajir county,12
2014,Mandera county,1
2014,Samburu county,0
2014,Lamu county,1
2014,Turkana county,4
2014,Baringo county,7
2014,Marsabit county,2
2014,Lamu county,5
2014,Mandera county,1
2014,Lamu county,13
2014,Tana River county,9
2014,Turkana county,3
2014,Lamu county,7
2014,Turkana county,3
2014,Mandera county,0
2014,Garissa county,0
2014,Mandera county,3
2014,Mandera county,1
2014,Lamu county,1
2014,Mandera county,1
2014,Mandera county,0
2014,Mandera county,1
2014,Mandera county,8
2014,Turkana county,0
2014,Baringo county,0
2014,Mandera county,2
2014,West Pokot county,1
2014,Baringo county,2
2014,Turkana county,2
2014,West Pokot county,1
2014,Mandera county,0
2014,Turkana county,1
2014,Turkana county,0
2014,Turkana county,0
2014,Mombasa county,6
2014,Isiolo county,10
2018,Marsabit county,4
2014,Marsabit county,5
2014,Turkana county,4
2014,Mandera county,28
2014,Wajir county,1
2014,Mandera county,36
2014,Wajir county,0
2015,,0
2015,Lamu county,6
2015,,0
2015,Turkana county,3
2015,Mandera county,0
2015,Mandera county,4
2015,Mandera county,4
2015,Wajir county,4
2015,Garissa county,152
2015,Turkana county,7
2015,Kwale county,0
2015,Isiolo county,17
2015,Samburu county,17
2015,Samburu county,8
2015,Samburu county,6
2015,,3
2015,,7
2018,Garissa county,1
2015,,54
2015,Baringo county,14
2015,Isiolo county,5
2015,Garissa county,0
2015,Marsabit county,1
2015,Isiolo county,11
2015,Lamu county,13
2015,Lamu county,4
2015,Mandera county,5
2015,Mandera county,10
2015,Lamu county,0
2015,Mandera county,14
2015,Lamu county,3
2015,Lamu county,3
2015,Lamu county,0
2015,Mandera county,3
2018,Mandera county,2
2015,Garissa county,1
2015,Lamu county,1
2015,Mandera county,1
2015,Mandera county,0
2015,Mandera county,3
2015,Lamu county,1
2015,Mandera county,2
2016,Kilifi county,4
2016,Lamu county,5
2016,Lamu county,3
2016,Lamu county,4
2016,Samburu county,2
2016,Elgeyo Marakwet county,3
2016,Tana River county,3
2017,Lamu county,2
2016,Elgeyo Marakwet county,2
2016,Baringo county,6
2016,Elgeyo Marakwet county,4
2016,Baringo county,5
2017,Lamu county,1
2016,Kisumu county,1
2016,Siaya county,2
2017,Elgeyo Marakwet county,1
2016,Kwale county,0
2016,Kisumu county,2
2016,Tana River county,9
2016,Baringo county,1
2016,Elgeyo Marakwet county,1
2016,Kwale county,1
2016,Mandera county,5
2016,Nairobi city county,3
2016,Lamu county,0
2016,Kilifi county,0
2016,Lamu county,4
2016,Mandera county,6
2016,Kwale county,1
2016,Lamu county,1
2016,Mombasa county,2
2016,Mombasa county,2
2016,Mandera county,0
2016,Mombasa county,2
2016,Kwale county,1
2018,Marsabit county,2
2018,Marsabit county,3
2016,Lamu county,0
2016,Elgeyo Marakwet county,2
2016,Garissa county,3
2016,Mombasa county,1
2016,Mandera county,6
2016,Mandera county,1
2016,Mandera county,12
2016,Baringo county,1
2016,Garissa county,4
2016,Garissa county,4
2016,Baringo county,4
2016,Elgeyo Marakwet county,1
2017,Mandera county,1
2017,Mandera county,1
2017,Elgeyo Marakwet county,1
2017,Elgeyo Marakwet county,1
2017,Kwale county,1
2017,Lamu county,1
2017,Isiolo county,10
2017,Mandera county,0
2017,Turkana county,2
2017,Marsabit county,1
2017,Baringo county,3
2017,Baringo county,1
2017,Samburu county,3
2017,,5
2017,Mandera county,1
2017,Mandera county,1
2017,Garissa county,4
2017,Elgeyo Marakwet county,1
2017,Garissa county,3
2017,Mandera county,5
2017,Garissa county,2
2017,Tana River county,3
2017,Lamu county,8
2017,Garissa county,1
2017,Isiolo county,8
2017,Turkana county,6
2017,Mandera county,4
2017,Mandera county,3
2017,,2
2017,Elgeyo Marakwet county,1
2017,Lamu county,6
2017,Lamu county,4
2017,Lamu county,5
2017,Lamu county,7
2017,Garissa county,0
2017,Lamu county,2
2017,Elgeyo Marakwet county,1
2017,Lamu county,3
2017,Mandera county,3
2018,Lamu county,1
2017,Garissa county,0
2017,Nairobi city county,2
2017,Nairobi city county,1
2017,Nairobi city county,3
2017,Nairobi city county,1
2017,Siaya county,2
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Kisumu county,2
2017,Kisumu county,1
2017,Siaya county,1
2017,Nairobi city county,2
2017,Nairobi city county,1
2017,Kisumu county,2
2017,Siaya county,1
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Garissa county,5
2017,Lamu county,4
2017,Mombasa county,1
2017,Garissa county,0
2017,Mandera county,2
2017,Laikipia county,1
2017,Lamu county,3
2017,Kwale county,2
2017,Lamu county,1
2017,Elgeyo Marakwet county,1
2017,Lamu county,5
2017,Nairobi city county,1
2017,Turkana county,7
2017,Turkana county,0
2017,Kisumu county,1
2017,Kisumu county,1
2017,Kisumu county,1
2017,Kisumu county,1
2017,Homa Bay county,1
2017,Nairobi city county,1
2017,Kisumu county,1
2017,Migori county,1
2017,,0
2017,Turkana county,1
2017,Nairobi city county,1
2017,Lamu county,2
2017,Baringo county,6
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Migori county,1
2017,Lamu county,2
2017,Lamu county,2
2017,Nairobi city county,1
2017,Bungoma county,5
2017,,1
2017,Garissa county,5
2018,Mandera county,5
2018,Elgeyo Marakwet county,5
2018,,1
2018,Lamu county,2
2018,Baringo county,1
2018,Mandera county,2
2018,Elgeyo Marakwet county,1
2018,Elgeyo Marakwet county,1
2018,Baringo county,3
2018,Elgeyo Marakwet county,1
2018,Turkana county,3
2018,Garissa county,2
2018,Elgeyo Marakwet county,1
2018,Elgeyo Marakwet county,2
2018,Mandera county,3
2018,Garissa county,3
2018,Mandera county,2
2018,Isiolo county,1
2018,Wajir county,4
2018,Meru county,1
2018,Mandera county,6
2018,Mandera county,5
2018,Mandera county,1
2018,Baringo county,3
2018,Mandera county,4
2018,Baringo county,4
2018,Kisumu county,1
2018,Nairobi city county,1
2018,Marsabit county,3
2018,Garissa county,5
2018,Wajir county,8
2018,Kericho county,3
2018,Kilifi county,1
2018,Garissa county,0
2018,Garissa county,0
2018,,2
2018,Lamu county,0
2018,Elgeyo Marakwet county,1
2018,Lamu county,5
2018,Mandera county,3
2018,Lamu county,5
2018,Lamu county,5
2018,Marsabit county,1
2018,Marsabit county,1
2018,Marsabit county,3
2018,Mandera county,0
2018,Garissa county,2
2018,Lamu county,10
2018,Kiambu county,1
2018,Mandera county,0
2018,Baringo county,2
2018,Mandera county,1
2018,Turkana county,2
2018,West Pokot county,1
2018,Turkana county,0
2018,Nairobi city county,1
2018,Mandera county,0
2018,Bungoma county,1
